"t","Ar36","Ar39","Ar40"
30,7,2754,36735
31,9,2729,36847
32,8,2829,37145
33,10,2803,36484
34,11,2856,36972
35,15,2815,36580
36,9,2766,36542
37,6,2722,36033
38,10,2751,36536
39,18,2734,36683
40,6,2718,35869
41,14,2701,36402
42,8,2806,36781
43,9,2680,35897
44,7,2785,36602
45,8,2711,36254
46,7,2646,36406
47,11,2738,36282
48,7,2712,36103
49,13,2659,36181
50,8,2684,36237
51,14,2672,35789
52,9,2817,36032
53,10,2674,35848
54,11,2639,35713
55,7,2784,35802
56,8,2731,35600
57,13,2732,35851
58,7,2710,35905
59,13,2645,35807
60,15,2682,36003
61,7,2633,35659
62,12,2669,35415
63,6,2620,35620
64,11,2733,35212
65,9,2688,35455
66,15,2730,35764
67,10,2666,35589
68,6,2671,35679
69,8,2582,35503
70,16,2598,35198
71,6,2712,35201
72,13,2690,35258
73,7,2585,35437
74,10,2617,35171
75,12,2538,35399
76,11,2632,35044
77,11,2620,35283
78,9,2643,35082
79,10,2678,34909
80,9,2628,34774
81,7,2727,35099
82,5,2609,34486
83,9,2629,34792
84,11,2659,34981
85,6,2697,34405
86,16,2625,34843
87,12,2598,34459
88,16,2570,34498
89,4,2560,34518
90,9,2694,34763
91,8,2511,34224
92,9,2564,34663
93,8,2543,34659
94,9,2567,34538
95,7,2675,34445
96,13,2567,34197
97,17,2588,34275
98,14,2636,34073
99,16,2644,34043
100,10,2640,34329
101,7,2622,34177
102,12,2586,34211
103,10,2662,34105
104,9,2667,34082
105,10,2628,34109
106,10,2547,33510
107,10,2448,34133
108,13,2524,33933
109,10,2536,34094
110,22,2593,33429
111,7,2654,33593
112,9,2590,33718
113,3,2576,33682
114,7,2537,33693
115,7,2642,33306
116,10,2526,33455
117,11,2524,33663
118,7,2532,33413
119,7,2358,33377
120,11,2450,33442
121,10,2450,33131
122,10,2554,32997
123,6,2498,32979
124,13,2518,33001
125,9,2490,32724
126,6,2447,33136
127,10,2501,32857
128,5,2508,33270
129,9,2499,33115
130,14,2463,33039
131,6,2439,33118
132,9,2517,33126
133,12,2556,32774
134,6,2464,32774
135,8,2550,33235
136,6,2533,32875
137,5,2475,32748
138,7,2471,32347
139,7,2506,32480
140,10,2448,32961
141,9,2445,32846
142,7,2478,32624
143,6,2592,32714
144,13,2465,32618
145,4,2373,32583
146,9,2492,32575
147,6,2412,32651
148,9,2443,32120
149,8,2465,32052
150,8,2409,32358
151,9,2400,32142
152,7,2439,32327
153,13,2477,32276
154,8,2361,32008
155,6,2445,32049
156,12,2453,31945
157,6,2419,31679
158,5,2370,31645
159,6,2400,31687
160,12,2384,32056
161,11,2321,31829
162,7,2464,31900
163,6,2401,31830
164,10,2373,31668
165,8,2358,31744
166,8,2342,31278
167,15,2381,31413
168,5,2424,31596
169,5,2332,31324
170,9,2460,31424
171,6,2319,31841
172,6,2434,31394
173,7,2361,31533
174,12,2436,31029
175,4,2300,31529
176,6,2299,31124
177,9,2303,30977
178,4,2341,30788
179,3,2345,31054
180,6,2339,31033
