"t","Ar36","Ar39","Ar40"
30,10,1606,16834
31,9,1624,16260
32,6,1577,16469
33,12,1583,16341
34,6,1636,16307
35,13,1606,16161
36,8,1597,16341
37,23,1585,16335
38,6,1550,16281
39,7,1607,16239
40,6,1569,16406
41,3,1591,16144
42,8,1595,16558
43,6,1533,16137
44,4,1592,16186
45,8,1555,16332
46,15,1537,16016
47,14,1634,16248
48,5,1552,16285
49,11,1585,16008
50,10,1639,16081
51,10,1578,16109
52,6,1569,16140
53,7,1562,16087
54,10,1571,15905
55,14,1681,16010
56,8,1539,16199
57,6,1565,16156
58,9,1514,15790
59,8,1573,16113
60,9,1613,15822
61,18,1506,15952
62,8,1581,15859
63,7,1596,15879
64,7,1567,15777
65,7,1552,15988
66,9,1527,15757
67,9,1510,15739
68,5,1585,15756
69,9,1559,15954
70,7,1527,15746
71,7,1566,15880
72,6,1548,15675
73,6,1566,15642
74,12,1588,15668
75,7,1560,15917
76,10,1483,15528
77,17,1493,15433
78,10,1508,15636
79,8,1537,15527
80,8,1592,15531
81,15,1548,15674
82,9,1551,15456
83,17,1482,15560
84,11,1546,15411
85,11,1510,15696
86,11,1500,15763
87,9,1502,15402
88,5,1439,15498
89,10,1521,15536
90,8,1485,15568
91,9,1556,15454
92,8,1498,15148
93,11,1504,15389
94,8,1479,15451
95,9,1455,15584
96,10,1512,15319
97,11,1480,15479
98,19,1565,15343
99,5,1500,15190
100,7,1537,15221
101,4,1502,15389
102,2,1432,15203
103,9,1475,15241
104,10,1475,15128
105,12,1414,15356
106,7,1511,15018
107,11,1584,15237
108,8,1461,15279
109,7,1404,15254
110,8,1475,15212
111,3,1451,14921
112,12,1419,15222
113,5,1427,15048
114,9,1516,14985
115,4,1482,14873
116,9,1464,15019
117,14,1512,15051
118,8,1446,14793
119,10,1488,14793
120,6,1407,14953
121,8,1464,14933
122,10,1481,14882
123,5,1478,15016
124,10,1420,14771
125,7,1496,15064
126,4,1421,14841
127,9,1549,14634
128,7,1496,14791
129,6,1453,14621
130,4,1381,14858
131,12,1378,14688
132,10,1440,14858
133,6,1464,15015
134,10,1392,14724
135,7,1450,14732
136,11,1477,14707
137,12,1423,14619
138,5,1444,14545
139,7,1503,14574
140,9,1393,14533
141,5,1402,14633
142,11,1434,14360
143,9,1401,14545
144,8,1439,14450
145,7,1464,14612
146,7,1420,14613
147,8,1424,14597
148,11,1430,14324
149,5,1445,14632
150,9,1397,14380
151,9,1444,14416
152,11,1375,14467
153,3,1381,14412
154,7,1399,14561
155,3,1467,14482
156,3,1356,14484
157,13,1378,14071
158,9,1400,14337
159,10,1401,14286
160,4,1408,13963
161,8,1398,14309
162,4,1489,14044
163,9,1351,14333
164,4,1450,13982
165,7,1418,14201
166,10,1366,14280
167,13,1381,14080
168,8,1371,14004
169,8,1375,14030
170,9,1349,13955
171,7,1338,14059
172,5,1392,13855
173,12,1393,13936
174,12,1355,13862
175,11,1355,13886
176,6,1368,13972
177,8,1344,14112
178,9,1409,13818
179,10,1372,13793
180,11,1362,13952
