"t","Ar36","Ar39","Ar40"
30,12,1738,36924
31,8,1849,36773
32,10,1843,36502
33,12,1727,36412
34,17,1765,36582
35,12,1731,36304
36,14,1823,36907
37,10,1800,36417
38,7,1748,36456
39,15,1826,36324
40,13,1848,36377
41,10,1805,36709
42,11,1674,36341
43,4,1728,36294
44,14,1750,36540
45,11,1684,36184
46,8,1742,36367
47,12,1747,36004
48,9,1732,36119
49,6,1723,36359
50,6,1803,35805
51,9,1789,36045
52,4,1664,36149
53,8,1773,36236
54,13,1784,35935
55,11,1644,36274
56,13,1723,35803
57,9,1673,35842
58,9,1759,35532
59,12,1752,35839
60,12,1697,35798
61,7,1781,35923
62,8,1736,35437
63,11,1772,35155
64,6,1758,35357
65,14,1757,35413
66,10,1706,35484
67,12,1740,35560
68,10,1737,35245
69,14,1747,35419
70,7,1680,35366
71,8,1682,35375
72,6,1669,35184
73,7,1754,35052
74,8,1750,35176
75,8,1739,35480
76,4,1690,35081
77,9,1737,34823
78,8,1697,35061
79,12,1660,34781
80,7,1753,35062
81,13,1704,34687
82,13,1610,34642
83,6,1627,34581
84,9,1668,34561
85,9,1664,34450
86,8,1801,34165
87,7,1658,34734
88,6,1714,34934
89,9,1621,34071
90,9,1622,34497
91,17,1667,34366
92,10,1719,34511
93,8,1640,34763
94,13,1722,34336
95,2,1656,34203
96,10,1698,34323
97,9,1644,34222
98,8,1681,34225
99,8,1578,34354
100,9,1697,34095
101,10,1608,33988
102,6,1699,34078
103,8,1624,34094
104,13,1665,33918
105,8,1571,33707
106,5,1742,33955
107,11,1624,33931
108,10,1749,33804
109,13,1627,33518
110,9,1664,33870
111,11,1620,33971
112,9,1598,33646
113,6,1666,33925
114,6,1599,33391
115,2,1691,33475
116,7,1604,33545
117,8,1666,33159
118,8,1667,33229
119,13,1612,33345
120,11,1550,33364
121,8,1637,33290
122,8,1646,33606
123,5,1662,33334
124,10,1682,33321
125,6,1562,33019
126,10,1562,33009
127,9,1635,33167
128,7,1618,33159
129,8,1647,33040
130,3,1541,33149
131,4,1616,32968
132,12,1583,33139
133,11,1634,32724
134,12,1650,32966
135,5,1588,32286
136,9,1612,32855
137,10,1588,32760
138,9,1590,32847
139,9,1546,32783
140,7,1537,32851
141,12,1609,32501
142,7,1578,32730
143,8,1584,32507
144,13,1617,32235
145,7,1520,32435
146,7,1552,32406
147,7,1557,32445
148,10,1566,32439
149,10,1602,32343
150,10,1583,32199
151,6,1528,32041
152,11,1550,32046
153,10,1607,32305
154,11,1646,31884
155,9,1526,32288
156,9,1581,32212
157,4,1553,31669
158,8,1503,32055
159,6,1531,31926
160,9,1585,31985
161,8,1531,31954
162,9,1568,31670
163,9,1496,31715
164,8,1548,31388
165,5,1532,31756
166,15,1576,31876
167,9,1525,31792
168,13,1512,31850
169,7,1530,31721
170,5,1538,31329
171,10,1487,31129
172,9,1571,31600
173,13,1468,31484
174,10,1568,31319
175,7,1527,31512
176,10,1473,31310
177,7,1476,31219
178,7,1583,31322
179,5,1580,31224
180,5,1517,31078
