"t","Ar36","Ar39","Ar40"
30,10,15941,274415
31,8,15933,274298
32,10,15912,273634
33,8,16022,272276
34,11,15795,273815
35,8,15870,273614
36,6,16004,272630
37,9,15712,272400
38,11,15988,272248
39,7,15585,272911
40,12,15844,270960
41,8,15944,272029
42,10,15641,270194
43,10,15569,270484
44,7,15724,269999
45,11,15532,270117
46,14,15403,269811
47,9,15599,268703
48,10,15610,269196
49,8,15678,269576
50,7,15796,268571
51,11,15415,268803
52,15,15458,269275
53,12,15568,267559
54,8,15486,267534
55,9,15613,266665
56,9,15365,266831
57,10,15556,267097
58,3,15292,266251
59,6,15347,266910
60,5,15439,265876
61,10,15528,265136
62,7,15307,266561
63,12,15438,264723
64,10,15207,265697
65,8,15392,265626
66,1,15397,264693
67,4,15303,263569
68,9,15214,263524
69,8,15326,263632
70,11,15196,263049
71,7,15277,262797
72,8,15276,261732
73,10,15613,262809
74,12,15270,262043
75,10,15169,262174
76,9,15361,261603
77,9,15470,261088
78,6,15287,261170
79,8,15119,259688
80,14,15065,260405
81,10,15093,260140
82,8,15116,260079
83,10,14935,260621
84,9,15055,259798
85,11,15229,258577
86,7,15027,258323
87,8,14911,258810
88,8,15000,258274
89,12,14931,257571
90,11,15084,257298
91,9,14927,256981
92,10,15005,256605
93,5,14947,256309
94,10,15087,256004
95,14,14973,255876
96,12,14854,256255
97,11,14796,256591
98,7,14722,255924
99,15,14823,255229
100,11,14894,254304
101,8,14604,254678
102,6,14592,253686
103,6,14897,253056
104,12,14726,253903
105,9,14857,253310
106,9,14792,253377
107,9,14783,252985
108,6,14684,252931
109,11,14519,251699
110,12,14599,252056
111,8,14508,251209
112,9,14627,250651
113,10,14528,251122
114,11,14634,250024
115,14,14557,250592
116,5,14762,250568
117,8,14634,250351
118,11,14330,249806
119,8,14391,249725
120,11,14348,248380
121,4,14329,248973
122,9,14282,248437
123,10,14350,248226
124,6,14259,247197
125,8,14371,247540
126,12,14541,247089
127,9,14447,246771
128,3,14309,247922
129,11,14262,246797
130,11,14321,246221
131,7,14375,246355
132,11,14500,245652
133,10,14527,245314
134,14,14412,244376
135,5,14032,244549
136,11,14209,244262
137,4,14076,244173
138,3,14074,244140
139,9,14171,243843
140,7,14114,243047
141,6,14273,243543
142,3,13994,242748
143,4,13896,242831
144,12,14151,241686
145,12,14047,242696
146,10,14073,241621
147,11,14237,241045
148,8,14021,240638
149,7,14005,241534
150,5,14205,241778
151,12,13889,240429
152,7,13827,240329
153,7,13960,238741
154,7,13832,238936
155,11,13778,238644
156,12,13703,238807
157,7,14004,238193
158,11,13657,238216
159,10,13797,238920
160,5,14000,238194
161,4,13988,237636
162,9,13582,238133
163,7,13706,237531
164,7,13964,236005
165,13,13605,236384
166,11,13669,236115
167,5,13821,235516
168,7,13786,235230
169,14,13486,235960
170,9,13500,234257
171,13,13613,234768
172,8,13697,233621
173,13,13669,233367
174,3,13446,233476
175,5,13557,233056
176,10,13602,233160
177,7,13430,232434
178,8,13412,233333
179,10,13513,232845
180,8,13494,231102
