"t","Ar36","Ar39","Ar40"
30,14,18390,342894
31,8,18403,341378
32,9,18128,342124
33,13,18197,341421
34,8,18250,340533
35,7,18044,341371
36,11,18267,340525
37,5,18295,339692
38,14,18180,338005
39,11,18175,339740
40,6,17882,339566
41,7,18057,337880
42,7,17737,337836
43,8,18001,337600
44,12,18029,337777
45,9,18061,337960
46,3,18105,335840
47,8,17901,335916
48,4,18218,336342
49,7,17864,335253
50,8,17855,335417
51,11,18132,336345
52,11,17821,335716
53,6,17885,332971
54,8,17832,333373
55,7,17853,333814
56,9,17828,332196
57,12,17719,332011
58,7,17606,333106
59,12,17670,331355
60,10,17852,330994
61,13,17841,331647
62,14,17640,329869
63,8,17770,330853
64,9,17642,330164
65,12,17859,330374
66,10,17739,329942
67,9,17778,328421
68,11,17538,328315
69,4,17647,328497
70,11,17657,327479
71,11,17583,327723
72,17,17390,326952
73,8,17659,327494
74,5,17500,326633
75,11,17526,326117
76,9,17519,326127
77,9,17303,326807
78,16,17306,326165
79,8,17426,324077
80,7,17490,324775
81,8,17356,324556
82,10,17329,324171
83,9,17341,323946
84,9,17190,324198
85,6,17461,323075
86,3,17575,322437
87,11,17169,321957
88,14,16935,321616
89,5,17033,322094
90,8,17444,320217
91,8,17059,320457
92,14,17076,320274
93,9,17036,319711
94,8,17127,320801
95,5,17184,319784
96,9,17487,318954
97,9,17088,318466
98,10,17029,319602
99,12,17288,318503
100,8,16909,318025
101,7,16960,317014
102,8,17083,317266
103,6,16731,316438
104,15,17044,316793
105,9,16802,315959
106,10,17148,315085
107,5,16738,314836
108,8,16635,315550
109,5,16852,314617
110,12,16833,313694
111,8,16698,313436
112,12,16807,313330
113,7,16989,313525
114,9,16830,312488
115,18,16869,312630
116,3,16645,311769
117,10,16899,312358
118,7,16674,312285
119,9,16539,310611
120,3,16645,310610
121,12,16793,309693
122,7,16498,309503
123,8,16715,310714
124,7,16525,309119
125,4,16480,310554
126,2,16611,308439
127,8,16476,306568
128,8,16583,307297
129,9,16749,306239
130,13,16264,306469
131,6,16586,306492
132,3,16383,306151
133,9,16361,305978
134,8,16307,305506
135,7,16142,304609
136,8,16195,305388
137,11,16342,305103
138,7,16435,304434
139,10,16234,304508
140,10,16378,303421
141,6,16189,303363
142,14,16250,303047
143,10,16359,302096
144,6,16377,302803
145,6,16082,302150
146,8,16162,301365
147,5,16249,300231
148,7,16056,301635
149,8,15850,300097
150,7,16009,299982
151,8,15949,299648
152,5,16100,299184
153,7,16142,299078
154,4,16092,299065
155,6,16037,298338
156,6,15899,297097
157,9,16004,298094
158,3,15912,297484
159,10,15916,296162
160,5,15927,295651
161,7,15710,296503
162,9,15908,296179
163,12,15667,295040
164,6,15947,295271
165,5,15726,294705
166,11,15934,294250
167,8,15979,293869
168,8,15777,293193
169,12,15851,293870
170,7,15632,293095
171,6,15573,293224
172,7,15702,293087
173,10,15615,291880
174,14,15635,292892
175,9,15531,291119
176,12,15573,291119
177,8,15297,290403
178,7,15618,289480
179,8,15641,289559
180,4,15331,289674
