"t","Ar36","Ar39","Ar40"
30,16,7153,138623
31,8,7133,138345
32,9,7080,138120
33,8,7194,138594
34,10,7137,138256
35,13,7230,138137
36,14,7143,138140
37,10,7049,137761
38,9,7170,137224
39,13,7255,137195
40,8,7054,136797
41,14,7325,136905
42,8,7060,136838
43,14,7132,136580
44,13,7194,137130
45,10,7096,136651
46,9,7149,136697
47,7,7101,136059
48,13,7139,136339
49,6,7180,136217
50,14,7044,135432
51,11,6937,135627
52,7,7071,135668
53,10,7220,135728
54,11,7124,134693
55,14,7075,134748
56,9,6932,135245
57,4,7135,134767
58,11,7044,134509
59,14,6911,134788
60,4,7017,134648
61,11,7053,134120
62,10,7013,134168
63,13,6860,134242
64,8,6986,133222
65,5,6963,133330
66,8,7108,133654
67,8,6825,133227
68,7,6863,132794
69,7,6907,133354
70,6,6938,133047
71,9,6948,132919
72,10,6866,132937
73,9,6981,132450
74,11,6860,132142
75,6,6945,132136
76,14,6875,131770
77,10,6867,132151
78,6,6927,131966
79,10,6849,131564
80,7,6821,131366
81,7,7023,131417
82,13,6740,130941
83,12,6786,131333
84,12,6799,131100
85,10,6853,130708
86,14,6787,130849
87,11,6984,130390
88,9,6764,130497
89,14,6968,130219
90,11,6721,129742
91,8,6724,129328
92,3,6749,129660
93,8,6725,129503
94,9,6803,129968
95,10,6549,129382
96,13,6748,129631
97,7,6629,128959
98,5,6629,129019
99,8,6757,127746
100,13,6633,129011
101,5,6675,128889
102,8,6709,128353
103,7,6798,127881
104,12,6669,127539
105,9,6696,127414
106,17,6562,127535
107,9,6653,126868
108,10,6732,127885
109,8,6661,127439
110,10,6703,127224
111,5,6767,127406
112,13,6547,126739
113,15,6533,126911
114,12,6571,126620
115,6,6661,126643
116,4,6579,126604
117,5,6502,125558
118,13,6641,126140
119,9,6438,125832
120,11,6571,125663
121,8,6533,125483
122,6,6730,125472
123,8,6555,125464
124,12,6483,125735
125,3,6431,125225
126,7,6635,124774
127,14,6610,125082
128,1,6515,125315
129,6,6534,124250
130,12,6580,124503
131,7,6459,123420
132,9,6546,123318
133,5,6450,124168
134,10,6422,124208
135,3,6455,123984
136,6,6434,123547
137,11,6368,123640
138,5,6357,123616
139,11,6432,122949
140,9,6394,123376
141,5,6527,123240
142,13,6486,122114
143,4,6379,122483
144,5,6438,122070
145,10,6401,122434
146,9,6485,121798
147,10,6320,121803
148,3,6373,121919
149,8,6292,121709
150,7,6348,120789
151,4,6187,121759
152,7,6325,121353
153,8,6291,121041
154,7,6372,121150
155,8,6357,120567
156,10,6336,120404
157,9,6328,119853
158,8,6241,120005
159,6,6242,120480
160,8,6160,120552
161,5,6313,119944
162,6,6101,119275
163,7,6194,119682
164,7,6159,119324
165,5,6115,119250
166,8,6165,119068
167,10,6224,119340
168,4,6155,118735
169,7,6304,118598
170,4,6260,119035
171,4,6249,118204
172,12,6088,118841
173,7,6184,118451
174,7,6322,118263
175,10,6156,117312
176,5,6048,117889
177,7,6122,118265
178,5,6208,117881
179,5,6246,117005
180,5,6145,117488
