"t","Ar36","Ar39","Ar40"
30,16,4457,70479
31,9,4497,70526
32,9,4456,70546
33,5,4433,70295
34,11,4487,70833
35,5,4337,70610
36,7,4334,69732
37,14,4345,69861
38,15,4546,69913
39,7,4426,70291
40,9,4583,69974
41,12,4435,69760
42,13,4508,70326
43,15,4381,69950
44,10,4443,69968
45,7,4385,69795
46,10,4518,69493
47,7,4395,69526
48,15,4343,69361
49,4,4491,69169
50,10,4365,69004
51,16,4356,69001
52,6,4381,69158
53,7,4459,69224
54,6,4487,69000
55,8,4293,68763
56,8,4379,68525
57,5,4379,68575
58,16,4359,68641
59,12,4256,68685
60,4,4419,68742
61,15,4402,68798
62,9,4409,68673
63,10,4453,68910
64,17,4358,68493
65,8,4340,67514
66,10,4427,68511
67,5,4316,67614
68,13,4414,67951
69,14,4276,68018
70,15,4213,68468
71,11,4343,67654
72,12,4273,67161
73,9,4449,67358
74,11,4262,67012
75,13,4248,67357
76,5,4470,67183
77,13,4204,67757
78,4,4222,67587
79,8,4326,67712
80,6,4327,66638
81,6,4296,67199
82,9,4291,66964
83,12,4188,66982
84,9,4302,66659
85,11,4223,66585
86,13,4280,67170
87,7,4283,66540
88,9,4079,66985
89,20,4240,66565
90,7,4172,66532
91,2,4173,66851
92,7,4203,66065
93,9,4181,66089
94,4,4167,66079
95,13,4186,65489
96,14,4230,66057
97,14,4271,65500
98,4,4244,66139
99,12,4104,65646
100,12,4140,65148
101,9,4084,65341
102,13,4146,65235
103,11,4144,65567
104,13,4078,65322
105,10,4142,65347
106,9,4251,65370
107,9,4099,65920
108,6,4186,65354
109,6,4195,64944
110,12,4008,65338
111,13,4160,64840
112,9,4082,65081
113,8,4044,64912
114,7,4106,64734
115,8,4024,64650
116,9,4130,64609
117,9,4078,64405
118,11,4094,64472
119,9,4117,64026
120,9,4070,63956
121,3,4042,64065
122,11,4113,64227
123,7,4025,64068
124,8,4059,64163
125,10,3911,63595
126,11,4053,63686
127,12,3876,63958
128,7,3962,63444
129,5,3944,63551
130,6,4174,63166
131,7,3979,63126
132,7,3966,63875
133,2,4028,63609
134,13,4144,63225
135,12,4075,62942
136,8,4027,63113
137,8,3966,63154
138,7,3982,62729
139,11,3961,62667
140,11,3991,63057
141,7,4079,62338
142,8,3966,62185
143,9,3980,62642
144,17,4039,62052
145,11,3987,62206
146,10,3875,62509
147,8,4013,61940
148,14,3944,62754
149,11,4000,62221
150,10,3879,62322
151,10,3981,61951
152,4,3888,61752
153,4,4082,61833
154,12,3973,61671
155,9,3979,61591
156,10,3870,61713
157,2,3823,60962
158,5,3926,61921
159,7,3821,61335
160,10,3883,61535
161,7,3888,61228
162,11,3909,61108
163,11,3880,60898
164,6,3832,61188
165,9,3828,61189
166,5,3848,60536
167,7,3823,60487
168,10,3962,60284
169,8,3892,60394
170,6,3935,60477
171,9,3923,60796
172,10,3814,60366
173,5,3812,60775
174,11,3880,60105
175,6,3776,60175
176,11,3912,59900
177,5,3704,59699
178,9,3776,60319
179,4,3800,59803
180,5,3758,60434
