"t","Ar36","Ar39","Ar40"
30,8,14073,275189
31,12,14094,274341
32,13,13843,274015
33,10,14098,273806
34,13,14152,273381
35,10,14057,273329
36,10,14078,272698
37,11,13994,272389
38,8,13966,271951
39,11,13898,272268
40,6,14139,271621
41,8,13646,271952
42,11,13851,270700
43,10,14163,271975
44,9,13803,270766
45,9,13857,270324
46,6,13977,270200
47,10,13954,268919
48,5,13642,270582
49,5,14020,269354
50,7,13777,268381
51,9,13816,267936
52,12,13950,267831
53,10,13876,268128
54,6,13739,267459
55,10,13786,267674
56,9,13885,267796
57,8,13882,267014
58,11,13778,266161
59,12,13527,265680
60,3,13601,266101
61,14,13706,265410
62,10,13881,265489
63,7,13465,264115
64,9,13523,265702
65,5,13812,264419
66,4,13566,264665
67,12,13523,263420
68,7,13718,264246
69,8,13448,263316
70,8,13608,263298
71,10,13707,263200
72,7,13491,262292
73,9,13453,261818
74,7,13393,262179
75,9,13446,261260
76,9,13528,260353
77,11,13337,260713
78,12,13472,260802
79,5,13461,261372
80,9,13509,260230
81,11,13595,259615
82,7,13536,259791
83,7,13136,260593
84,11,13264,259041
85,5,13200,260118
86,12,13501,258574
87,11,13002,257845
88,9,13308,257972
89,8,13391,257280
90,12,13406,257674
91,8,13260,257074
92,9,13244,256177
93,9,13195,257010
94,8,13064,255934
95,14,13130,256951
96,6,13237,255959
97,11,13146,254982
98,6,13186,255691
99,6,13171,255606
100,11,13083,254497
101,8,13174,254971
102,11,13147,254547
103,6,13200,253684
104,5,13149,253197
105,6,12948,252926
106,3,12849,254002
107,9,13065,253100
108,11,13035,252605
109,9,13159,251558
110,5,13039,251526
111,5,12896,250871
112,14,12859,251802
113,8,12941,251200
114,15,13055,251018
115,10,12810,251007
116,13,12901,250228
117,12,12715,250281
118,5,13090,249553
119,5,12919,249420
120,5,12735,248719
121,8,12800,249820
122,9,12814,248104
123,9,12776,247816
124,9,13033,247511
125,10,12908,247846
126,8,12604,247584
127,12,12591,247547
128,8,12542,246593
129,4,12519,246609
130,7,12768,246337
131,12,12506,246017
132,14,12580,245763
133,5,12603,245172
134,7,12798,245729
135,15,12627,245303
136,9,12587,244360
137,4,12493,244248
138,7,12510,244578
139,9,12542,243101
140,6,12447,243978
141,7,12599,242859
142,7,12582,242601
143,12,12587,242164
144,4,12623,241752
145,8,12276,241628
146,8,12691,241741
147,6,12196,241448
148,9,12324,241217
149,9,12431,240911
150,10,12426,240818
151,12,12437,239538
152,12,12315,239810
153,7,12162,239436
154,4,12295,239698
155,6,12253,238413
156,7,12148,239503
157,7,12425,238788
158,4,12424,238562
159,9,12371,238404
160,9,12247,237564
161,9,12223,237821
162,16,12115,237086
163,7,12274,236984
164,11,12088,236790
165,9,12022,235581
166,7,12284,235855
167,8,12221,235293
168,12,12279,235826
169,12,12191,234799
170,8,12181,234460
171,14,11805,233782
172,9,11955,234344
173,8,12049,233183
174,8,11940,233393
175,8,12026,233095
176,9,12242,233579
177,8,12289,233174
178,10,11991,233371
179,6,11787,231995
180,5,11898,232645
