"t","Ar36","Ar39","Ar40"
30,11,19055,342502
31,13,18717,342260
32,15,18801,341632
33,12,18753,341289
34,10,18699,341647
35,6,18920,341286
36,12,18855,339953
37,11,18692,339762
38,11,18792,338629
39,12,18861,339160
40,12,18343,339071
41,6,18682,338118
42,8,18653,337095
43,9,18689,338182
44,12,18551,337051
45,15,18495,336923
46,13,18404,336339
47,11,18444,336602
48,10,18550,336096
49,12,18429,335900
50,7,18811,335760
51,15,18642,334896
52,8,18501,335259
53,10,18405,334538
54,8,18307,333856
55,10,18370,334172
56,7,18181,333611
57,13,18343,333331
58,9,18409,333211
59,9,18464,332307
60,15,18252,331888
61,10,18262,331724
62,4,18386,330516
63,8,17932,329623
64,5,18471,329881
65,7,18002,330832
66,11,18339,330191
67,9,18116,329894
68,6,18065,327922
69,7,18282,328564
70,7,18234,329764
71,12,18062,327509
72,10,18113,328249
73,7,18047,326722
74,12,18027,327556
75,7,17984,326210
76,12,18048,325805
77,6,17909,325634
78,8,17899,324974
79,13,17829,324941
80,7,18035,324889
81,8,17798,324348
82,8,17990,323682
83,7,18010,322378
84,6,17825,323765
85,9,17561,323231
86,10,17776,323127
87,8,17558,322508
88,9,17701,321525
89,14,17866,320335
90,10,17721,320636
91,11,17869,320331
92,10,17620,320159
93,7,17678,319945
94,8,17532,320051
95,10,17494,318612
96,6,17704,318571
97,10,17594,318732
98,9,17532,318403
99,12,17631,316561
100,11,17482,317256
101,8,17571,317562
102,11,17545,317157
103,11,17329,316820
104,12,17340,316021
105,13,17508,316029
106,11,17309,316102
107,15,17134,314549
108,9,17412,314626
109,9,17421,314760
110,9,17345,314816
111,9,17307,312663
112,8,17369,313303
113,13,17323,312567
114,6,17245,313079
115,10,17215,312254
116,5,17349,312155
117,9,17529,312164
118,9,17141,311239
119,13,17099,310901
120,6,17107,311252
121,11,17081,309838
122,10,17063,309776
123,9,17108,309159
124,11,17177,309227
125,4,17123,307376
126,16,16664,309234
127,8,16841,308176
128,11,17032,307867
129,12,16708,307618
130,9,17067,307483
131,7,16687,306456
132,8,16855,306667
133,3,16684,306437
134,6,16786,305555
135,9,17168,305941
136,8,16871,304488
137,7,16716,304005
138,8,16742,304521
139,8,16903,303099
140,8,16768,303098
141,8,16938,303500
142,8,16644,302717
143,5,16692,302451
144,10,16582,302876
145,8,16389,302020
146,9,16659,300734
147,7,16631,300376
148,9,16523,300687
149,8,16616,300288
150,5,16387,299759
151,7,16567,299482
152,10,16720,298933
153,7,16487,299796
154,7,16683,299126
155,7,16470,297246
156,7,16459,297682
157,14,16340,296598
158,7,16126,297930
159,10,16308,297396
160,11,16178,296037
161,9,16286,295162
162,7,16301,295886
163,14,16327,295807
164,6,16274,295315
165,6,16250,294972
166,7,16159,294647
167,10,16259,294545
168,13,16224,293979
169,5,16235,292566
170,8,16244,292715
171,7,16231,293211
172,11,16086,292083
173,10,15899,292003
174,9,15810,291942
175,7,15828,290984
176,7,16024,291128
177,7,16059,290717
178,10,15900,290290
179,13,16157,289048
180,11,16039,289183
