"t","Ar36","Ar39","Ar40"
30,6,7084,138174
31,10,7333,138730
32,9,7231,138850
33,9,7122,138207
34,9,7256,138074
35,8,7163,137893
36,12,7115,138301
37,10,7222,138056
38,9,7211,137479
39,8,7075,138216
40,12,7284,137682
41,6,7240,137613
42,14,7291,136708
43,9,7086,136791
44,11,7111,136761
45,8,7077,135885
46,7,7090,136353
47,9,7130,136505
48,12,7079,136359
49,8,7182,136476
50,9,7216,136452
51,7,7073,135430
52,9,7182,135322
53,9,7038,135938
54,9,6941,135340
55,8,7021,134866
56,12,7258,134317
57,9,7043,135809
58,17,6886,134809
59,10,6800,134857
60,11,7023,133868
61,10,6801,133684
62,8,6964,134178
63,11,6944,133341
64,10,7033,133372
65,8,6807,133468
66,10,6819,133579
67,10,6981,133668
68,13,6855,133242
69,7,7003,133001
70,8,6788,132605
71,9,6979,133508
72,10,6972,133257
73,7,6975,132629
74,7,6785,132928
75,11,6822,132583
76,9,6904,132238
77,7,6924,132317
78,11,6908,131788
79,15,6894,130809
80,4,6868,131854
81,7,6924,131774
82,12,6902,130639
83,9,6854,131206
84,8,6776,131038
85,6,6749,131716
86,8,6796,130457
87,11,6800,131372
88,5,6724,130380
89,10,6793,130247
90,9,6728,129808
91,13,6749,129819
92,12,6707,129379
93,6,6753,129572
94,13,6862,129928
95,7,6728,129190
96,4,6818,129688
97,11,6613,128355
98,8,6702,129234
99,7,6517,128270
100,8,6726,128560
101,8,6732,128332
102,10,6661,128142
103,6,6696,127997
104,13,6767,127768
105,9,6640,128331
106,7,6809,127590
107,7,6659,127298
108,11,6517,127963
109,8,6504,126629
110,6,6614,126979
111,9,6572,127328
112,6,6627,126553
113,8,6577,126889
114,14,6675,127404
115,7,6553,126191
116,8,6466,126756
117,11,6724,126367
118,4,6532,125923
119,11,6650,125963
120,8,6558,125479
121,10,6556,125695
122,9,6484,125563
123,11,6444,125132
124,5,6650,125407
125,11,6490,125744
126,16,6379,124344
127,4,6431,124683
128,9,6508,124186
129,12,6438,124841
130,7,6463,124790
131,8,6396,124312
132,6,6428,124317
133,10,6457,124448
134,6,6419,123923
135,7,6495,124190
136,11,6354,123618
137,12,6304,123043
138,7,6393,123734
139,8,6463,122832
140,14,6389,122517
141,8,6353,122988
142,5,6409,122570
143,4,6408,122003
144,8,6526,122458
145,8,6421,122901
146,4,6313,122320
147,11,6378,122080
148,7,6244,121578
149,16,6322,122154
150,12,6344,121812
151,13,6318,121111
152,8,6174,121797
153,12,6295,121187
154,11,6274,120935
155,8,6333,120561
156,11,6441,120615
157,5,6305,120720
158,10,6291,120467
159,8,6228,119662
160,7,6376,120316
161,5,6260,119542
162,9,6256,119930
163,8,6229,119501
164,11,6229,119981
165,9,6188,119212
166,7,6316,119204
167,11,6036,118091
168,9,6213,119017
169,9,6201,118880
170,4,6098,118929
171,10,6255,119028
172,8,6118,118513
173,7,6315,118226
174,8,6170,118110
175,9,6059,118235
176,13,6073,117462
177,5,6079,118003
178,8,6111,117686
179,4,6038,117267
180,11,6074,116666
